,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
213,2024-02-28,IPO,,,-4.08,,,3.17,75.81,-0.98,-15.03,-31.78,-5.44,-13.17,-19.85,-38.06,-2.56,-21.71,23.15,-8.77,-0.73,21.33,-2.81,2.9,2.96,7.04,13.85,-1.57,12.5
214,2005-09-30,LBW,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2006-08-04,LBW,-44.11,-30.18,-26.6,-71.04,-90.77,-26.96,-88.6,-67.07,282.24,552.21,448.57,309.55,86.72,292.61,10.84,543.21,151.99,,56.86,63.26,39.47,7.57,-33.09,78.82,20.13,-28.31,0.32
216,2006-11-03,LBW,-37.77,-43.84,15.94,-32.23,-17.44,15.99,-32.53,-46.83,5.16,8.91,19.44,1.44,-5.02,-0.54,2.34,6.53,-48.87,21.19,-14.7,-14.31,-26.87,-8.17,27.5,161.93,159.61,45.84,-7.74
217,2007-02-14,LBW,113.03,70.57,-2.57,57.9,72.93,-0.71,115.66,100.77,-16.61,-18.12,-17.3,-11.93,33.48,-8.21,1.38,-12.97,216.36,-38.69,-11.05,-7.34,-3.71,5.35,-7.46,232.66,40.3,28.74,-14.54
218,2007-05-07,LBW,56.69,27.9,104.74,21.23,17.32,101.37,17.19,79.77,37.39,46.52,122.14,105.34,-6.93,61.89,-5.68,106.0,16.77,18.38,-9.74,-15.79,-55.73,37.2,-3.47,-65.96,64.01,70.94,51.93
219,2007-08-06,LBW,33.81,55.88,47.84,41.9,18.73,47.14,22.99,23.15,-51.57,-69.63,-25.63,-61.4,-8.87,-39.2,-10.87,-47.84,-25.58,,150.03,274.45,233.42,-7.44,7.18,-84.99,-70.67,-53.19,-22.61
220,2008-02-14,LBW,-51.38,-46.16,-30.96,-0.63,-59.08,-10.43,-51.94,-35.25,14.92,47.08,36.19,60.59,34.68,35.84,9.77,6.93,8.78,,7.33,8.81,3.94,1.96,-30.59,-65.92,-49.97,-44.88,-21.45
221,2008-05-05,LBW,8.04,-29.66,38.33,-6.46,-6.48,25.6,2.08,19.09,-3.51,-35.16,-19.58,-24.63,43.29,-66.34,7.05,-1.15,32.69,,27.95,21.89,30.17,9.9,20.85,191.78,315.45,91.53,53.15
222,2008-08-04,LBW,-40.5,-48.3,-41.37,-55.3,-60.71,-54.95,-65.94,-54.9,19.46,88.83,14.59,0.73,9.59,134.98,2.24,51.27,33.09,,-2.81,-4.61,-41.57,-4.99,53.99,-25.34,-8.47,-26.02,-24.32
223,2008-11-04,LBW,-14.43,10.62,-20.21,-5.25,-18.26,-19.67,26.4,-12.04,-52.9,-42.75,-9.66,-13.24,-4.12,-5.34,-5.24,1.96,-59.88,,-33.28,-33.53,-39.86,-2.46,0.14,36.42,20.63,40.67,10.26
224,2009-02-14,LBW,-29.78,34.13,-29.73,18.3,-3.74,-0.45,4.31,-17.74,16.84,-12.33,-30.48,-43.98,10.07,-34.04,8.32,-28.86,-42.74,,20.83,7.83,99.04,0.19,-20.58,70.06,-31.42,-32.74,-10.42
225,2009-05-14,LBW,14.4,-0.49,97.18,114.8,148.81,-33.76,-5.83,13.79,-6.56,-2.28,-3.42,3.5,3.05,3.23,0.84,-13.97,19.77,,-25.0,-26.74,23.38,1.63,-10.73,-7.66,-55.66,-1.03,-12.59
226,2009-08-31,LBW,47.94,1.6,28.24,15.96,6.17,27.23,120.27,82.68,-70.11,-62.65,-42.23,-51.93,-39.04,-41.85,-5.74,-72.23,-48.0,,-16.1,-26.64,-45.33,2.69,3.33,54.33,118.55,34.28,9.61
227,2009-11-05,LBW,47.67,16.52,24.83,38.62,4.93,159.27,4.21,1.0,101.38,9.9,-32.17,-17.09,-40.21,-10.51,-0.68,-43.95,1.83,,-39.73,-40.44,-30.15,0.2,8.91,161.96,51.73,48.98,11.43
228,2010-05-13,LBW,9.78,2.12,-7.32,-8.23,-9.39,15.32,39.39,16.92,337.77,201.18,-18.29,84.03,389.8,78.08,0.44,17.72,25.69,65.83,5.0,6.75,6.09,3.17,2.77,203.05,-14.44,-9.54,-9.29
229,2010-08-31,LBW,-0.2,4.94,-23.09,-4.44,-28.22,-15.86,-14.31,9.12,3.77,10.74,-20.38,-15.7,-361.27,-23.24,5.83,15.06,67.02,,-5.41,0.93,-7.14,-1.03,2.44,1.14,6.45,9.61,-2.19
230,2010-11-09,LBW,25.21,21.89,16.28,139.43,52.58,-1.41,8.94,0.68,-54.33,-38.1,13.74,37.75,169.81,13.91,12.88,-28.52,39.81,,2.05,2.42,-0.47,-32.05,-1.75,-37.59,-3.12,-1.95,23.67
