,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
109,2020-11-25,EAH,-28.36,,-13.25,69.32,5.11,-26.63,-34.26,-34.63,-55.92,-61.89,-9.62,-39.86,12.12,-28.9,-2.71,-11.15,-50.09,-30.89,-8.79,-25.6,-9.66,0.29,12.95,97.7,31.21,10.71,53.82
110,2021-05-26,EAH,119.14,,149.43,99.12,190.23,80.75,-34.43,123.26,9.29,30.44,-38.1,18.16,50.45,34.89,-10.36,-4.97,15.61,-42.93,-6.46,-16.07,-6.56,14.77,4.06,39.34,25.8,10.14,50.45
111,2021-09-28,EAH,126.44,,153.87,-40.14,111.52,80.41,18.72,111.63,920.2,756.6,9.43,2079.41,53.33,385.79,-8.06,94.65,89.87,-49.87,-5.39,-12.97,-5.09,7.25,3.88,14.47,10.85,15.01,25.32
112,2021-11-24,EAH,123.88,,179.71,-7.53,91.8,101.68,38.23,63.79,207.87,329.43,5.45,107.3,18.47,119.39,-3.25,43.0,205.8,23.88,-2.19,2.65,-4.2,7.77,17.4,-7.74,17.17,26.09,5.07
113,2022-05-27,EAH,7.08,,12.4,-51.52,-53.91,-21.37,40.68,-35.18,94.01,118.23,186.8,133.33,34.42,88.13,10.52,42.25,83.2,-55.87,4.21,14.53,-3.45,-8.35,17.59,24.85,4.07,7.96,-14.98
114,2022-09-28,EAH,-27.77,,-34.03,-10.85,-70.42,-34.17,-15.03,-56.51,120.64,39.98,87.99,45.34,40.81,56.66,7.78,22.87,474.63,190.78,9.64,4.53,-2.54,0.71,6.78,-41.06,-30.7,-6.59,-26.81
115,2022-11-28,EAH,-24.28,,-47.67,-50.82,-69.66,-36.17,-55.19,-40.5,21.08,-17.09,37.44,13.82,15.21,14.16,3.24,14.39,4.74,-15.18,6.57,-4.08,-2.21,-2.16,3.63,-0.66,-37.11,-13.15,-10.31
116,2023-05-26,EAH,-26.53,,6.9,-7.22,-4.89,-15.96,-17.43,5.73,42.98,-21.62,-21.12,-43.88,-12.84,-15.73,-13.11,19.01,-12.86,404.41,-9.63,-37.04,-10.17,4.4,15.34,9.91,-15.91,3.2,3.0
117,2023-09-28,EAH,32.85,,3.73,23.38,29.06,-2.17,-11.48,17.93,-36.41,-15.81,-28.47,-40.76,-27.16,-17.15,-22.71,-0.91,-38.3,-10.57,-14.56,-34.15,-11.95,4.3,29.81,30.18,-2.91,7.71,17.89
118,2023-11-28,EAH,24.77,,13.1,110.02,135.25,2.27,122.59,9.02,-21.79,-27.29,-16.82,-34.05,-31.35,-30.78,-24.1,-19.25,-4.69,3.61,-12.44,-15.52,-12.09,8.43,24.49,2.71,24.91,10.27,24.83
