,Ticker,Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Wartości niematerialne i prawne,Rzeczowe składniki majątku trwałego,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
26,ATT,2019-04-25,13.09,5.09,36.99,9.15,463.49,32.08,52.73,656.66,-46.59,-11.47,-4.58,1282.32,,1282.32,,5229.06,3720.64,8.28,-28.71,17.34,-15.39,12.25,28.46,11.68,11.03,1.32,26.61,-9.03,6.02,128.38,9.31,4.97,0.0,,0.0,5.18,20.57,-3.15,-43.22,,-69.96,31.74,6.74,513.6,,9.31,87.84,18.7,32.64,-4.33,-312.24,,-98.13,70.26
27,ATT,2020-04-08,-6.93,-5.47,1.5,-9.28,-33.82,150.37,-55.27,-9.31,22.85,4.58,19.58,-9.37,,-9.37,,-12.82,-16.42,26.21,5.05,26.83,212.26,-1.26,-3.0,-1.63,-8.13,0.33,4.99,19.9,12.94,-99.54,17.63,4.3,0.0,,0.0,44.44,33.02,22.89,-6.05,,1156.45,6.66,20.52,-74.84,,17.63,33.03,-5.61,-138.64,186.07,127.7,,250.54,276.03
28,ATT,2021-04-15,51.09,53.55,15.45,3.08,162.94,-41.51,567.77,57.71,72.88,119.19,4.43,44.99,,44.99,,78.3,86.71,10.32,-2.98,11.88,10.76,9.83,11.96,86.11,50.79,145.27,58.15,155.83,2.94,-100.0,29.86,8.21,0.0,,0.0,4.26,4.33,88.42,323.11,,144.17,-14.17,107.92,61.06,,29.86,113.84,-0.54,14.41,-17.45,-852.62,,-40.18,1023.49
29,ATT,2022-04-27,55.07,61.61,10.11,18.17,50.25,16.27,152.02,-1.24,117.81,50.06,16.34,-6.16,,-6.16,,-7.87,6.58,13.71,-3.19,10.88,16.12,218.02,212.29,2.04,48.9,-49.04,43.32,-41.73,21.06,,9.39,12.5,0.0,,0.0,3.17,22.57,5.39,-15.73,,-25.39,2.98,-1.67,45.62,,9.39,-3.05,-0.74,-15.89,14.18,-97.76,,191.67,-168.78
30,ATT,2023-03-30,-45.07,-33.24,-16.13,0.39,-225.56,277.54,70.94,-515.9,167.19,12.96,51.85,-620.3,,-620.3,,-663.61,-555.1,1.87,-55.68,2.02,-3.29,-14.27,254.51,-21.15,-28.31,-28.14,-9.71,-26.46,-7.35,,-6.07,-33.39,0.0,,0.0,-49.42,-58.91,-12.26,895.7,,66.38,55.98,72.15,-26.99,,-6.07,16.95,6.9,11.19,-11.82,-16.53,,-19.98,64.26
31,BDZ,2005-09-21,6.69,-1.36,,-8.09,9.95,73.22,154.95,-7.45,50.56,-20.23,,1.18,,1.18,,0.45,0.45,-1.89,39.19,-2.76,,0.0,33.21,-2.2,4.22,-9.52,30.59,30.59,230.0,,-1.95,0.08,0.0,,-8.66,,-33.33,,,,,,-2.36,,81.48,-1.95,-6.09,3.16,6.43,-9.49,3.43,,,-34.91
32,BDZ,2006-03-14,-2.5,0.0,-6.18,3.3,-23.62,21.13,-45.7,-3.02,-53.69,-50.54,,9.45,,9.45,,6.49,6.49,-2.69,25.24,-2.44,,0.0,-12.73,-23.35,-1.38,-13.95,-95.82,-95.82,60.61,,-6.79,0.73,0.0,,0.96,,-100.0,-26.01,39.77,,,,9.51,-1.52,7.35,-6.79,-34.65,12.61,6.21,8.05,17.93,,0.0,-542.47
33,BDZ,2007-03-12,1.07,2.6,7.43,3.3,-22.35,-2.57,-67.72,-4.7,45.82,-32.02,,1.23,,1.23,,-1.43,-1.43,-4.79,-86.05,-4.13,,-96.49,-13.03,-9.35,16.68,-18.84,-50.62,-50.62,-32.08,,-5.54,-4.25,0.0,,0.17,,,26.9,-44.47,,,,-20.14,-0.53,30.83,-5.54,42.9,-15.89,29.1,-22.52,-36.04,,2.87,97.96
34,BDZ,2008-02-29,8.23,8.05,-12.1,9.79,33.33,-63.5,31.79,5.56,-69.4,15.2,,1.0,,1.0,,11.78,11.78,5.73,3069.44,4.38,,0.0,12.66,35.59,44.28,24.33,973.42,973.42,19.44,,10.41,1.29,0.0,,2.97,,695.34,-0.26,39.53,,,,19.27,0.38,10.96,10.41,-28.78,58.81,-162.73,104.69,85.61,,0.0,1033.33
35,BDZ,2009-02-03,18.74,25.18,-75.14,5.96,42.13,-21.79,80.72,31.42,-29.46,-2.79,,34.63,,34.63,,26.27,26.27,-0.77,9.55,-1.06,,0.0,5.4,15.53,17.59,13.47,28.07,-1.77,9.3,,2.36,3.81,0.0,,0.08,,37.96,-18.71,-0.22,,0.0,,-6.9,-6.93,8.93,2.36,19.11,-7.35,-8.81,6.13,-107.39,,0.0,-101.98
